Ward,Precinct,Registered,Votes,RAHM EMANUEL ,%,WILLIE WILSON ,%,ROBERT W. FIORETTI ,%,JESUS ''CHUY'' GARCIA ,%,"WILLIAM WALLS, III ",%
45,37,685,281,149,0.5302,11,0.0391,24,0.0854,97,0.3452,0,0
45,38,699,250,123,0.492,6,0.024,24,0.096,94,0.376,3,0.012
45,39,728,279,129,0.4624,7,0.0251,46,0.1649,95,0.3405,2,0.0072
45,40,678,301,150,0.4983,12,0.0399,47,0.1561,89,0.2957,3,0.01
45,41,652,307,147,0.4788,7,0.0228,58,0.1889,93,0.3029,2,0.0065
45,42,666,339,172,0.5074,11,0.0324,54,0.1593,102,0.3009,0,0
45,43,710,345,146,0.4232,8,0.0232,68,0.1971,121,0.3507,2,0.0058
45,44,673,319,168,0.5266,6,0.0188,49,0.1536,95,0.2978,1,0.0031
45,45,504,221,97,0.4389,10,0.0452,52,0.2353,61,0.276,1,0.0045
45,46,533,202,86,0.4257,7,0.0347,32,0.1584,73,0.3614,4,0.0198
45,47,527,240,98,0.4083,8,0.0333,49,0.2042,84,0.35,1,0.0042
45,48,600,236,112,0.4746,4,0.0169,49,0.2076,67,0.2839,4,0.0169
46,1,731,269,134,0.4981,15,0.0558,19,0.0706,95,0.3532,6,0.0223
46,2,674,252,135,0.5357,14,0.0556,6,0.0238,95,0.377,2,0.0079
46,3,744,328,221,0.6738,11,0.0335,11,0.0335,82,0.25,3,0.0091
46,4,716,294,171,0.5816,11,0.0374,12,0.0408,97,0.3299,3,0.0102
46,5,804,222,126,0.5676,8,0.036,14,0.0631,72,0.3243,2,0.009
46,6,680,248,139,0.5605,12,0.0484,12,0.0484,82,0.3306,3,0.0121
46,7,753,410,271,0.661,14,0.0341,22,0.0537,97,0.2366,6,0.0146
46,8,717,227,110,0.4846,26,0.1145,10,0.0441,73,0.3216,8,0.0352
46,9,687,255,144,0.5647,4,0.0157,15,0.0588,89,0.349,3,0.0118
46,10,913,233,131,0.5622,6,0.0258,18,0.0773,75,0.3219,3,0.0129
46,11,752,257,167,0.6498,19,0.0739,11,0.0428,59,0.2296,1,0.0039
46,12,628,259,123,0.4749,11,0.0425,10,0.0386,113,0.4363,2,0.0077
46,13,697,244,139,0.5697,4,0.0164,16,0.0656,81,0.332,4,0.0164
46,14,897,342,172,0.5029,52,0.152,11,0.0322,100,0.2924,7,0.0205
46,15,719,251,162,0.6454,6,0.0239,12,0.0478,67,0.2669,4,0.0159
46,16,736,271,139,0.5129,7,0.0258,17,0.0627,108,0.3985,0,0
46,17,785,340,221,0.65,15,0.0441,17,0.05,84,0.2471,3,0.0088
46,18,728,239,133,0.5565,10,0.0418,12,0.0502,82,0.3431,2,0.0084
46,19,456,213,138,0.6479,2,0.0094,14,0.0657,56,0.2629,3,0.0141
46,20,806,274,133,0.4854,30,0.1095,15,0.0547,87,0.3175,9,0.0328
46,21,691,184,107,0.5815,5,0.0272,12,0.0652,58,0.3152,2,0.0109
46,22,653,235,101,0.4298,16,0.0681,8,0.034,110,0.4681,0,0
46,23,745,217,126,0.5806,20,0.0922,8,0.0369,60,0.2765,3,0.0138
46,24,717,294,195,0.6633,7,0.0238,15,0.051,75,0.2551,2,0.0068
46,25,740,270,119,0.4407,16,0.0593,10,0.037,123,0.4556,2,0.0074
46,26,682,225,112,0.4978,6,0.0267,19,0.0844,82,0.3644,6,0.0267
46,27,748,257,151,0.5875,13,0.0506,15,0.0584,75,0.2918,3,0.0117
46,28,666,334,223,0.6677,6,0.018,8,0.024,93,0.2784,4,0.012
46,29,647,243,142,0.5844,7,0.0288,11,0.0453,80,0.3292,3,0.0123
46,30,669,263,139,0.5285,11,0.0418,14,0.0532,92,0.3498,7,0.0266
46,31,651,214,113,0.528,5,0.0234,13,0.0607,81,0.3785,2,0.0093
46,32,861,319,184,0.5768,31,0.0972,8,0.0251,92,0.2884,4,0.0125
46,33,728,306,198,0.6471,7,0.0229,14,0.0458,87,0.2843,0,0
46,34,806,265,155,0.5849,10,0.0377,14,0.0528,85,0.3208,1,0.0038
46,35,872,301,184,0.6113,15,0.0498,14,0.0465,83,0.2757,5,0.0166
46,36,640,281,176,0.6263,8,0.0285,16,0.0569,78,0.2776,3,0.0107
46,37,526,209,138,0.6603,22,0.1053,6,0.0287,42,0.201,1,0.0048
46,38,754,219,118,0.5388,21,0.0959,9,0.0411,66,0.3014,5,0.0228
46,39,659,234,147,0.6282,6,0.0256,17,0.0726,64,0.2735,0,0
46,40,598,265,142,0.5358,11,0.0415,13,0.0491,96,0.3623,3,0.0113
47,1,447,120,59,0.4917,4,0.0333,8,0.0667,49,0.4083,0,0
47,2,771,343,186,0.5423,6,0.0175,26,0.0758,121,0.3528,4,0.0117
47,3,740,376,263,0.6995,9,0.0239,13,0.0346,91,0.242,0,0
47,4,781,303,161,0.5314,3,0.0099,19,0.0627,117,0.3861,3,0.0099
47,5,743,266,146,0.5489,9,0.0338,14,0.0526,95,0.3571,2,0.0075
47,6,792,238,134,0.563,3,0.0126,22,0.0924,76,0.3193,3,0.0126
47,7,664,219,109,0.4977,9,0.0411,15,0.0685,83,0.379,3,0.0137
47,8,722,286,171,0.5979,4,0.014,22,0.0769,87,0.3042,2,0.007
47,9,607,191,93,0.4869,5,0.0262,14,0.0733,78,0.4084,1,0.0052
47,10,806,273,133,0.4872,5,0.0183,10,0.0366,124,0.4542,1,0.0037
47,11,716,183,97,0.5301,3,0.0164,16,0.0874,62,0.3388,5,0.0273
47,12,695,292,149,0.5103,6,0.0205,11,0.0377,126,0.4315,0,0
47,13,664,265,118,0.4453,3,0.0113,16,0.0604,124,0.4679,4,0.0151
47,14,637,267,141,0.5281,13,0.0487,13,0.0487,98,0.367,2,0.0075
47,15,760,281,96,0.3416,7,0.0249,18,0.0641,159,0.5658,1,0.0036
47,16,712,314,158,0.5032,8,0.0255,16,0.051,130,0.414,2,0.0064
47,17,706,238,128,0.5378,5,0.021,18,0.0756,86,0.3613,1,0.0042
47,18,683,242,145,0.5992,5,0.0207,8,0.0331,82,0.3388,2,0.0083
47,19,822,264,121,0.4583,7,0.0265,12,0.0455,123,0.4659,1,0.0038
47,20,654,289,138,0.4775,7,0.0242,25,0.0865,117,0.4048,2,0.0069
47,21,648,258,121,0.469,5,0.0194,14,0.0543,114,0.4419,4,0.0155
47,22,707,321,156,0.486,6,0.0187,21,0.0654,138,0.4299,0,0
47,23,738,248,97,0.3911,8,0.0323,17,0.0685,126,0.5081,0,0
47,24,631,217,123,0.5668,2,0.0092,16,0.0737,76,0.3502,0,0
47,25,749,238,114,0.479,10,0.042,4,0.0168,109,0.458,1,0.0042
47,26,763,253,116,0.4585,1,0.004,11,0.0435,124,0.4901,1,0.004
